ลำดับที่,MEMBER TYPE,CODE,NAME,CARD ID,ADDRESS,SUB DISTRICT,DISTRICT,PROVINCE,CONTACT,ROUTE,MOBILE,LINE,LOCATION,REMARK,BRANCH CODE,STATUS,Ref
13,ขายปลีก 15,VP14007,ร้านน้ำพี่พล โดม 2 รร.,***,,,,,,VP14,*****,,,,**,Active,OLD
14,ขายปลีก 15,VP14008,ร้านสเต็ก โดม 2 รร.,***,,,,,,VP14,***,,,,**,Active,OLD
15,ขายปลีก 15,VP14009,ร้านน้ำ โดม 2 รร.,***,,,,,,VP14,*****,,,,**,Active,OLD
16,ขายปลีก 15,VP14010,ร้านก๋วยเตี๋ยว โดม 2 รร.,***,,,,,,VP14,*****,,,,**,Active,OLD
17,ขายปลีก 15,VP14011,ร้านข้าวแกง โดม 2 รร.,***,,,,,,VP14,*****,,,,**,Active,OLD
18,ขายปลีก 15,VP14012,ร้านข้าวมันไก่ โดม 2 รร.,***,,,,,,VP14,*****,,,,**,Active,OLD
19,ขายปลีก 15,VP14013,ตึกครัว ร.ร. สารสาสน์,,,,,,,VP14,,,,,,Active,OLD
20,ขายปลีก 15,VP14014,ร้านข้าวแกงปักษ์ใต้ 1,,,,,,,VP14,,,"13.7984094,100.060751",,,Active,OLD
21,ขายปลีก 15,VP14015,ร้านป้าเล็ก (หลักชัย),,,,,,,VP14,,,"13.73788194,100.08226852",,,Active,OLD
22,ขายปลีก 15,VP14016,ร้านนายน้ำ,,,,,,,VP14,,,"13.7361104,100.0812658",,,Active,OLD
23,ขายปลีก 15,VP14017,ร้านข้าวแกงปักษ์ใต้ 2,,,,,,,VP14,,,"13.7062293,100.0782008",,,Active,OLD
24,ขายปลีก 15,VP14018,ร้านป้าหมึก,,,,,,,VP14,,,"13.7221953,100.0776562",,,Active,OLD
25,ขายปลีก 15,VP14019,ร้านป้าหนู,,,,,,,VP14,,,"13.6925458,100.0828481",,,Active,OLD
26,ขายปลีก 15,VP14020,ร้านป้าตุ๋ม,,,,,,,VP14,,,"13.694688,100.095111",,,Active,OLD
27,ขายปลีก 15,VP14021,สรัลการเกษตร,,,,,,,VP14,,,"13.6958906,100.0993812",,,Active,OLD
28,ขายปลีก 15,VP14022,ร้านพี่นก,,,,,,,VP14,,,"13.6977067,100.1135928",,,Active,OLD
29,ขายปลีก 15,VP14023,ตามสั่งสุดซอย,,,,,,,VP14,,,"13.69813189,100.1125272",,,Active,OLD
30,ขายปลีก 15,VP14024,ร้านข้าวเหนียวหมู,,,,,,,VP14,,,"13.694785,100.096953",,,Active,OLD
31,ขายปลีก 15,VP14025,ร้านเจ้อ้อย,,,,,,,VP14,,,"13.6945698,100.0951023",,,Active,OLD
32,ขายปลีก 15,VP14026,ชาชะเอม,,,,,,,VP14,,,"13.6924152,100.0842431",,,Active,OLD
33,ขายปลีก 15,VP14027,ไก่ย่างวิเชียรบุรี,,,,,,,VP14,,,"13.69142549,100.0836951",,,Active,OLD
34,ขายปลีก 15,VP14028,ร้านน้ำมะพร้าว ปากทางสะแกราย,,,,,,,VP14,,,"13.6891203,100.0761876",,,Active,OLD
35,ขายปลีก 15,VP14029,ร้านสัมพันธ์ วันยันค่ำ,,,,,,,VP14,,,"13.6904055,100.0779154",,,Active,OLD
36,ขายปลีก 15,VP14030,ร้านมาลัย คอฟฟี่ ช๊อบ,,,,,,,VP14,,,"13.6684852,100.0625893",,,Active,OLD
37,ขายปลีก 15,VP14031,ร้านตามสั่งพี่ฝ้าย,,,,,,,VP14,,,"13.6683737,100.0627084",,,Active,OLD
38,ขายปลีก 15,VP14032,โรงอาหาร ร.ร.วัดตากแดด,,,,,,,VP14,,,,,,Active,OLD
39,ขายปลีก 15,VP14033,ร้านค้าพี่เอ็กซ์,,,,,,,VP14,,,"13.6788098,100.06862014",,,Active,OLD
40,ขายปลีก 15,VP14034,ร้านส้มตำ ป๋าสั่งลุย,,,,,,,VP14,,,"13.67867002,100.06829587",,,Active,OLD
41,ขายปลีก 15,VP14035,ร้านก๋วยเตี๋ยว เจ้ฟ้า,,,,,,,VP14,,,"13.6786965,100.0680554",,,Active,OLD
42,ขายปลีก 15,VP14036,ร้านน้ำช่างไก่,,,,,,,VP14,,,"13.6787266,100.071255",,,Active,OLD
43,ขายปลีก 15,VP14037,ร้านโกยง เป็ดพะโล้,,,,,,,VP14,,,"13.69522333,100.08187416",,,Active,OLD
44,ขายปลีก 15,VP14038,ร้านมะพร้าว บ้านเจ้าคุณปู่,,,,,,,VP14,,,"13.69602929,100.08149087",,,Active,OLD
45,ขายปลีก 15,VP14039,ร้านมะพร้าวน้ำหอม,,,,,,,VP14,,,"13.69775635,100.08105536",,,Active,OLD
46,ขายปลีก 15,VP14040,ร้านตามสั่งพี่ชัย,,,,,,,VP14,,,"13.7058779,100.0780182",,,Active,OLD
47,ขายปลีก 15,VP14041,ร้านส้มตำป้าขาว,,,,,,,VP14,,,"13.7060771,100.0779101",,,Active,OLD
48,ขายปลีก 15,VP14042,ร้านส้มตำพี่ตุ๊ก ข้าง ม.,,,,,,,VP14,,,"13.70620447,100.07757862",,,Active,OLD
49,ขายปลีก 15,VP14043,ร้านก๋วยเตี๋ยวพี่จิ๋ม ข้าง ม.,,,,,,,VP14,,,"13.70630604,100.07760969",,,Active,OLD
50,ขายปลีก 15,VP14044,ร้านส้มตำซาดิสต์,*****,,,,,,VP14,,,"13.7073153,100.0688841",,****,Active,OLD
51,ขายปลีก 15,VP14045,ล้านตณทำกิน,,,,,,,VP14,,,"13.70763709,100.07121163",,,Active,OLD
52,ขายปลีก 15,VP14046,ร้านก๋วยเตี๋ยวพี่เปิ้ล,,,,,,,VP14,,,"13.706267,100.078207",,,Active,OLD
53,ขายปลีก 15,VP14047,ร้านค้าป้าลี,,,,,,,VP14,,,"13.7073113,100.068844",,,Active,OLD
54,ขายปลีก 15,VP14048,บ้านยายจุ๊น,,,,,,,VP14,,,"13.70751994,100.06676134",,,Active,OLD
55,ขายปลีก 15,VP14049,ร้านค้าพี่ไก่,,,,,,,VP14,,,"13.7078121,100.0658042",,,Active,OLD
56,ขายปลีก 15,VP14050,บ้านป้าพร,,,,,,,VP14,,,"13.7070733,100.0658566",,,Active,OLD
57,ขายปลีก 15,VP14051,บ้านขายผลไม้ (ขายหน้า ม.),,,,,,,VP14,,,,,,Inactive,OLD
58,ขายปลีก 15,VP14052,ร้านค้าวัดดอนขนาก,,,,,,,VP14,,,,,,Inactive,OLD
59,ขายปลีก 15,VP14053,ร้านน้ำเจ๊หน่อย หน้าวัดดอนขนาก,,,,,,,VP14,,,,,,Inactive,OLD
60,ขายปลีก 15,VP14054,บ้านพี่นกขายยำ (ขายหน้า ม.),,,,,,,VP14,,,"13.7073496,100.0687966",,,Active,OLD
61,ขายปลีก 15,VP14055,ร้านป้าปลา ข้าง ม.,,,,,,,VP14,,,"13.70633,100.0780741",,,Active,OLD
62,ขายปลีก 15,VP14056,ร้านส้มตำพี่นุช ข้าง ม.,,,,,,,VP14,,,"13.7062892,100.0780565",,,Active,OLD
63,ขายปลีก 15,VP14057,ร้านน้ำชาพะยอม ข้างม.,,,,,,,VP14,,,,,,Active,OLD
64,ขายปลีก 15,VP14058,ตามสั่งเจ้เพลา,,,,,,,VP14,,,"13.7155472,100.0767012",,,Active,OLD
65,ขายปลีก 15,VP14059,ร้านฟลุ๊คบะหมี่ ตรงข้ามวันดอน,,,,,,,VP14,,,"13.7943927,100.0915076",,,Active,OLD
66,ขายปลีก 15,VP14060,ร้านตามสั่งน้าบุญ,,,,,,,VP14,,,"13.7362586,100.0816079",,,Active,OLD
67,ขายปลีก 15,VP14061,ร้านชายิ้ม,,,,,,,VP14,,,"13.7065876,100.0783082",,,Active,OLD
68,ขายปลีก 15,VP14062,ร้านตามสั้ง ครัวต้นข้าว,,,,,,,VP14,,,"13.7059743,100.0782125",,,Active,OLD
69,ขายปลีก 15,VP14063,ร้านทุกอย่าง 20 บาท,,,,,,,VP14,,,"13.705934,100.0782939",,,Active,OLD
70,ขายปลีก 15,VP14064,ร้านสตาร์ทบาร์,,,,,,,VP14,,,,,,Active,OLD
71,ขายปลีก 15,VP14065,ร้านน้ำพี่ทิพ ใน ม.คริสเตียน,,,,,,,VP14,,,"13.7035817,100.0747392",,,Active,OLD
72,ขายปลีก 15,VP14066,ร้านป้าแก้ว ใน ม.คริสเตียน,,,,,,,VP14,,,"13.7051885,100.0778401",,,Active,OLD
73,ขายปลีก 15,VP14067,ร้านสุขส่งยิ้ม,*****,,,,,,VP14,,,,,****,Active,OLD
74,ขายปลีก 15,VP14068,โรงงานแก้ว,,,,,,,VP14,,,"13.7036667,100.0748608",,,Active,OLD
75,ขายปลีก 15,VP14069,บ้านนายก,,,,,,,VP14,,,"13.69745003,100.10409427",,,Active,OLD
76,ขายปลีก 15,VP14070,บ้านลุงจอน,,,,,,,VP14,,,"13.6974468,100.0961552",,,Active,OLD
77,ขายปลีก 15,VP14071,บ้านพี่ตู (ขายหน้า ม.ยำ),,,,,,,VP14,,,"13.7293512,100.0816043",,,Active,OLD
78,ขายปลีก 15,VP15000,ขายสด,,,,,,,VP15,,,,,,Active,OLD
79,ขายปลีก 15,VP15001,ตามสั่งป้าอ้อย,,,,,,,VP15,,,"13.740944,100.0806509",,,Active,OLD
80,ขายปลีก 15,VP15002,ร้านป้าถิ่น,,,,,,,VP15,,,"13.7394744,100.0805641",,,Active,OLD
81,ขายปลีก 15,VP15003,ร้านพี่หมวย,,,,,,,VP15,,,"13.73910228,100.08064103",,,Active,OLD
82,ขายปลีก 15,VP15004,ร้านตามสั่งลุงอุดม,,,,,,,VP15,,,"13.6742948,100.0624497",,,Active,OLD
83,ขายปลีก 15,VP15005,ร้านพี่กาเหว่า,,,,,,,VP15,,,"13.7391225,100.0805769",,,Active,OLD
84,ขายปลีก 15,VP15006,ร้านค้าชุมชน,,,,,,,VP15,,,"13.68618971,100.06640724",,,Active,OLD
85,ขายปลีก 15,VP15007,ร้านน้ำพี่เรือน,,,,,,,VP15,,,,,,Active,OLD
86,ขายปลีก 15,VP15008,ตามสั่งลุงเขียด,,,,,,,VP15,,,"13.6866367,100.0676222",,,Active,OLD
87,ขายปลีก 15,VP15009,ร้านเจ๊หมู,,,,,,,VP15,,,"13.6745645,100.0634412",,,Active,OLD
88,ขายปลีก 15,VP15010,ร้านป้าเล็ก,,,,,,,VP15,,,"13.67421057,100.06276461",,,Active,OLD
89,ขายปลีก 15,VP15011,ร้านป้าใจ,,,,,,,VP15,,,"13.7454822,100.085829",,,Active,OLD
90,ขายปลีก 15,VP15012,บ้านคอสะพาน โคกพระ,,,,,,,VP15,,,"13.745465,100.0858307",,,Active,OLD
91,ขายปลีก 15,VP15013,ร้านลุงสัน,,,,,,,VP15,,,"13.7485841,100.1043232",,,Active,OLD
92,ขายปลีก 15,VP15014,ร้านน้ำแข็งใส โคกพระ,,,,,,,VP15,,,"13.738455,100.1304143",,,Active,OLD
93,ขายปลีก 15,VP15015,ร้านลุงชื่น,,,,,,,VP15,,,"13.74991528,100.10985179",,,Active,OLD
94,ขายปลีก 15,VP15016,ร้านป้าสวงค์,,,,,,,VP15,,,"13.7500965,100.1107406",,,Active,OLD
95,ขายปลีก 15,VP15017,ร้านพี่ไก่,,,,,,,VP15,,,"13.751139,100.1157252",,,Active,OLD
96,ขายปลีก 15,VP15018,ร้านพี่เด่น,,,,,,,VP15,,,"13.73875929,100.13045156",,,Active,OLD
97,ขายปลีก 15,VP15019,ร้านพี่เริด โคกพระ,,,,,,,VP15,,,"13.7491886,100.1067516",,,Active,OLD
98,ขายปลีก 15,VP15020,ก๋วยเตี๋ยวพี่แนน,,,,,,,VP15,,,,,,Inactive,OLD
99,ขายปลีก 15,VP15021,ข้าวแกงในซอย,,,,,,,VP15,,,"13.7861219,100.0959703",,,Active,OLD
100,ขายปลีก 15,VP15022,ของชำลุงเป้,,,,,,,VP15,,,"13.7861709,100.0950817",,,Active,OLD
101,ขายปลีก 15,VP15023,ร้านลุงดม ซอย2,,,,,,,VP15,,,"13.7861677,100.0950863",,,Active,OLD
102,ขายปลีก 15,VP15024,ร้านป้าเปลว,,,,,,,VP15,,,"13.7452182,100.0853808",,,Active,OLD
103,ขายปลีก 15,VP15025,ร้านพี่ลัก,,,,,,,VP15,,,"13.6825924,100.0866906",,,Active,OLD
104,ขายปลีก 15,VP15026,หมูปิ้ง ซ.อัสสัม,,,,,,,VP15,,,"13.6736519,100.0918931",,,Active,OLD
105,ขายปลีก 15,VP15027,ร้านค้าในวัด,,,,,,,VP15,,,"13.6549737,100.0899486",,,Active,OLD
106,ขายปลีก 15,VP15028,ของชำป้าสุนีย์,,,,,,,VP15,,,"13.7052347,100.0566524",,,Active,OLD
107,ขายปลีก 15,VP15029,มะม่วงคู่,,,,,,,VP15,,,"13.7073756,100.0688327",,,Active,OLD
108,ขายปลีก 15,VP15030,ข้าวแกงน้องเดียร์,,,,,,,VP15,,,,,,Inactive,OLD
109,ขายปลีก 15,VP15031,ร้านสเต๊ก ม.คริสเตียน,,,,,,,VP15,,,"13.7059379,100.07795",,,Active,OLD
110,ขายปลีก 15,VP15032,ร้านน้ำ ใน ม.คริสเตียน,,,,,,,VP15,,,,,,Inactive,OLD
111,ขายปลีก 15,VP15033,ร้านส้มตำ น้องปาล์ม ครุเงิน,,,,,,,VP15,,,"13.7380582,100.0721023",,,Active,OLD
112,ขายปลีก 15,VP15034,ร้านกาแฟ พี่ส้ม,,,,,,,VP15,,,"13.73159543,100.03541786",,,Active,OLD
113,ขายปลีก 15,VP15035,ของชำเจ๊ปราณี,,,,,,,VP15,,,"13.73166979,100.03535274",,,Active,OLD
114,ขายปลีก 15,VP15036,ร้านกาแฟพี่แหม่ม,,,,,,,VP15,,,,,,Active,OLD
115,ขายปลีก 15,VP15037,ร้านของชำหลังวัด เปาวลา,,,,,,,VP15,,,,,,Inactive,OLD
116,ขายปลีก 15,VP15038,เตี๋ยวเรือ ปตท,,,,,,,VP15,,,"13.8016895,100.0942409",,,Active,OLD
117,ขายปลีก 15,VP15039,ร้านมะพร้าว,,,,,,,VP15,,,"13.75253611,100.06158236",,,Active,OLD
118,ขายปลีก 15,VP15040,ร้านน้ำแข็งใส อัสสัม,,,,,,,VP15,,,"13.6936786,100.0907607",,,Active,OLD
119,ขายปลีก 15,VP15041,ร้านไก่ย่าง,,,,,,,VP15,,,,,,Inactive,OLD
120,ขายปลีก 15,VP15042,สะพานครุเงิน,,,,,,,VP15,,,"13.7333074,100.0594701",,,Active,OLD
121,ขายปลีก 15,VP15043,ครัวคุณยาย,,,,,,,VP15,,,,,,Inactive,OLD
122,ขายปลีก 15,VP15044,ร้านกาแฟ อัสสัม,,,,,,,VP15,,,"13.6736627,100.0918966",,,Active,OLD
123,ขายปลีก 15,VP15045,ร้านค้าไพโรจน์ เสมา ซ.2,**********,,,,,,VP15,*******,,"13.7411804,100.0896503",,*****,Active,OLD
124,ขายปลีก 15,VP14072,ร้านผลไม้,***,,,,,,VP14,*******,,"13.7074065,100.0701208",,***,Active,OLD
125,ขายปลีก 15,VP09097,สตรีท P2,**********,,,,,,VP09,*****,,"13.81112022,100.04279022",,*****,Active,OLD
126,ขายปลีก 15,VP15046,ร้านอาหารตามสั่ง,***,,,,,,VP15,*****,,"13.6727129,100.0885315",,**,Active,OLD
127,ขายปลีก 15,VP15047,ร้านส้มตำ,***,,,,,,VP15,*****,,"13.6705107,100.0888113",,**,Active,OLD
128,ขายปลีก 15,VP15048,ก๋วยเตี๋ยวเรือ,***,,,,,,VP15,*******,,"13.6647723,100.0888304",,***,Active,OLD
129,ขายปลีก 15,VP15049,ไก่ย่างวิเชียร,***,,,,,,VP15,*****,,"13.65459479,100.09026429",,**,Active,OLD
130,ขายปลีก 15,VP15050,อาหารตามสั่ง,***,,,,,,VP15,*****,,"13.7392644,100.1304989",,**,Active,OLD
131,ขายปลีก 15,VP15051,ร้านน้ำเล่จัง,,,,,,,VP15,,,"13.7460438,100.1296082",,**,Active,OLD
132,ขายปลีก 15,VP14073,ร้านเครป โดม 1,,,,,,,VP14,*****,,,,**,Active,OLD
133,ขายปลีก 15,VP15052,ร้านกล้วยทอด,,,,,,,VP15,*****,,,,**,Inactive,OLD
134,ขายปลีก 15,VP15053,ร้านค้า,,,,,,,VP15,*****,,"13.70780714,100.05922135",,**,Active,OLD
135,ขายปลีก 15,VP14074,ร้านอาหารตามสั่ง,,,,,,,VP14,*****,,"13.6789706,100.0685592",,**,Active,OLD
136,ขายปลีก 15,VP15055,อาหารตามสั่งพี่หน่อย,,,,,,,VP15,0889731960,,"13.70758943,100.05984399",,**,Active,OLD
137,ขายปลีก 15,VP15056,ร้านผลไม้,,,,,,,VP15,*****,,"13.7036049,100.0553725",,**,Active,OLD
138,ขายปลีก 15,VP15057,ก่อสร้าง,,,,,,,VP15,*****,,"13.7073201,100.0687588",,**,Active,OLD
139,ขายปลีก 15,VP14075,ร้านป้าณี,,,,,,,VP14,*****,,"13.72178944,100.07780239",,**,Active,OLD
140,ขายปลีก 15,VP15058,พี่นุ่นขายลูกชิ้น,,,,,,,VP15,*****,,"13.7472295,100.1223807",,**,Active,OLD
141,ขายปลีก 15,VP14076,ร้านยำลูกชิ้น,*****,,,,,,VP14,097-1540516,,"13.7940134,100.09170034",,****,Active,OLD
142,ขายปลีก 15,VP15059,บ้านมะขาม,*****,,,,,,VP15,062-4142864,,,,****,Active,OLD
143,ขายปลีก 15,VP15060,ร้านพี่ปลา,*****,,,,,,VP15,099-6071694,,,,****,Active,OLD
144,ขายปลีก 16,VP09012,F-one วจ. @ 16,,"C62-07,C63-07",,,,คุณนฤมล,VP09,094-4431921,,"13.802258,100.07282",,,Active,OLD
145,ขายปลีก 16,VP13019,F-One,,,,,,,VP13,,,"13.7865547,100.0278757",,,Active,OLD
146,ขายปลีก 18,VP06026,ของชำ ทบ. VP6,,C63-03,,,,,VP06,,,,,,Active,OLD
147,ขายปลีก 18,VP06029,ของชำ 3ควายเผือก,,C62-09,,,,,VP06,089-8041640,,"13.832538,100.100967",,,Active,OLD
148,ขายปลีก 20/4,VP02079,ร้านข้าวไข่เจียว ป้าแอ๊ว,xxxxxxxxxxxxx,A63-93,,,,,VP02,xxxxxxxxxxxx,,"13.80378978,100.2792087",,xxxxx,Active,OLD
149,ขายปลีก 20/4,VP02080,ร้านหมาล่า พี่ฟิวส์,xxxxxxxxxxxxx,-,,,,,VP02,xxxxxxxxxxxx,,"13.8753159,100.2922444",,xxxxx,Active,OLD
150,ขายปลีก 20/4,VP02081,ร้านข้าวมันไก่,xxxxxxxxxxxxx,A62-05 (1L),,,,,VP02,xxxxxxxxxxxx,,"13.89792482,100.28105568",,xxxxx,Active,OLD
151,ขายปลีก 20/4,VP02082,สวนอาหารบ้านเป็ด,xxxxxxxxxxxxx,xxxx,,,,,VP02,xxxxxxxxxxxx,,"13.87240343,100.26558447",,xxxxx,Active,OLD
152,ขายปลีก 20/4,VP02083,ร้านส้มตำ อ้วน,xxxxxxxxxxxxx,A62-14,,,,,VP02,095-7988128,,"13.8669774,100.2677627",,xxxxx,Active,OLD
153,ขายปลีก 20/4,VP02084,ร้านก๋วยเตี๋ยวพี่โน๊ต,xxxxxxxxxxxxx,-,,,,,VP02,088-8472648,,,,xxxxx,Inactive,OLD
154,ขายปลีก 20/4,VP02000,ขายสด,xxxxxxxxxxxxx,-,,,,,VP02,xxxxxxxxxxxx,,"13.7982633,100.1997509",,xxxxx,Active,OLD
155,ขายปลีก 20/4,VP01000,ขายสด,xxxxxxxxxxxxx,-,,,,,VP01,xxxxxxxxxxxx,,,ลูกค้าจร,xxxxx,Active,OLD
156,ขายปลีก 20/4.5,VP06001,ชาแบมบูร์,,S61-61,,,,,VP06,091-7166941,,"13.811555,100.044712",,,Active,OLD
157,ขายปลีก 20/4.5,VP06002,นิ้ว,,S61-47,,,,,VP06,087-6251976,,"13.813904,100.048172",,,Active,OLD
158,ขายปลีก 20/4.5,VP06003,อาหารตามสั่ง พี่สุ,,,,,,คุณสุ,VP06,089-1761551,,"13.813904,100.048172",,,Active,OLD
159,ขายปลีก 20/4.5,VP06004,ข้าวหมูแดง VP6,,A62-18,,,,,VP06,089-4139598,,"13.828248,100.102156",,,Active,OLD
160,ขายปลีก 20/4.5,VP06005,ชาพะยอม (บพ.) VP6,,,,,,,VP06,099-9146725,,"13.83338,100.062655",,,Active,OLD
161,ขายปลีก 20/4.5,VP06006,ของชำ (บพ.) VP6,,,,,,,VP06,,,,,,Active,OLD
162,ขายปลีก 20/4.5,VP06007,ขนมจีบบ่อพลับ,,,,,,,VP06,089-2542299,,,,,Active,OLD
163,ขายปลีก 20/4.5,VP06008,ส้มตำบ่อพลับ,,"S61-01,S62-118",,,,คุณสมศักดิ์,VP06,088-9822455,,"13.833654,100.062755",,,Active,OLD
164,ขายปลีก 20/4.5,VP06009,กาแฟ 28,,,,,,,VP06,088-5444314,,"13.818251,100.07921",,,Active,OLD
165,ขายปลีก 20/4.5,VP06010,กาแฟเฌอค่าเฟ่,,,,,,,VP06,065-3965351,,"13.816989,100.081232",,,Active,OLD
166,ขายปลีก 20/4.5,VP06011,กาแฟเมคอะมิ้น,,A62-72,,,,คุณอลงกรณ์,VP06,095-9103750,,"13.826789,100.061742",,,Active,OLD
167,ขายปลีก 20/4.5,VP06012,ชารินริน R,,"M61-06,13",,,,คุณพิไลวรรณ,VP06,095-6939622,,"13.819596,100.053573",,,Active,OLD
168,ขายปลีก 20/4.5,VP06013,กาแฟดอยช้าง,,,,,,,VP06,,,,,,Active,OLD
169,ขายปลีก 20/4.5,VP06014,ชาม,,,,,,,VP06,098-4249789,,,,,Active,OLD
170,ขายปลีก 20/4.5,VP06015,ขนมจีนคุณแบงค์,,,,,,คุณแบงค์,VP06,084-0706999,,,,,Active,OLD
171,ขายปลีก 20/4.5,VP06016,น้ำ VP6 ริเวอร์,,,,,,,VP06,,,,,,Active,OLD
172,ขายปลีก 20/4.5,VP06017,กาแฟคามุ นฐ,,"S61-08,50",,,,คุณรัชนี,VP06,092-4294558,,,,,Active,OLD
173,ขายปลีก 20/4.5,VP06018,ขนมจีนคามุ,,,,,,,VP06,,,,,,Active,OLD
174,ขายปลีก 20/4.5,VP06019,วนิลาสกาย,,,,,,,VP06,,,,,,Active,OLD
175,ขายปลีก 20/4.5,VP06020,ชานมบุพเฟ่,,,,,,,VP06,,,,,,Active,OLD
176,ขายปลีก 20/4.5,VP06021,ส้มตำ ซ.5 VP6,,,,,,,VP06,,,,,,Active,OLD
177,ขายปลีก 20/4.5,VP06022,กาแฟสด +K VP6,,,,,,,VP06,,,,,,Active,OLD
178,ขายปลีก 20/4.5,VP06023,ชากูรูโรตี,,,,,,,VP06,,,,,,Active,OLD
179,ขายปลีก 20/4.5,VP06024,ก๋วยเตี๊ยว ซ.8 VP6,,,,,,,VP06,,,,,,Active,OLD
180,ขายปลีก 20/4.5,VP06025,ชาพะยอม ทบ. VP6,,,,,,,VP06,,,,,,Active,OLD
181,ขายปลีก 20/4.5,VP06027,ขนมจีนเจ้เจี๊ยบ+K,,,,,,คุณเจี๊ยบ,VP06,,,,,,Active,OLD
182,ขายปลีก 20/4.5,VP06028,ไก่อบโอ่ง+ส้มตำ VP6,,"A61-10,S61-22",,,,,VP06,082-9181717,,"13.823776,100.063594",,,Active,OLD
183,ขายปลีก 20/4.5,VP06032,มะพร้าวปั่น (บพ.) VP6,,,,,,,VP06,,,,,,Active,OLD
184,ขายปลีก 20/4.5,VP06033,ของชำ เปรมยุดา,,"C63-02,S61-19",,,,คุณเปรมยุดา,VP06,089-5133583,,,,,Active,OLD
185,ขายปลีก 20/4.5,VP06034,กาแฟ นภัสวรรณ,,S61-23,,,,คุณนภัสวรรณ,VP06,095-7760836,,"13.901149,100.046952",,,Active,OLD
186,ขายปลีก 20/4.5,VP06035,ชาย 4 หมี่เกี้ยว ฟลุ๊ค,,S61-36,,,,คุณฟลุ๊ค,VP06,,,"13.833345,100.062578",,,Active,OLD
187,ขายปลีก 20/4.5,VP06036,ป้าหมวย VP6,,,,,,คุณหมวย,VP06,,,,,,Active,OLD
188,ขายปลีก 20/4.5,VP06037,เชฟตุ๋ยซี่โครง,,"S62-96,99",,,,,VP06,034-144455,,"13.811434,100.044794",,,Active,OLD
189,ขายปลีก 20/4.5,VP06038,ก๋วยเตี๊ยวเป็ด VP6,,,,,,,VP06,,,,,,Active,OLD
190,ขายปลีก 20/4.5,VP06039,ไข่เจียว กัญวาลักษณ์,,S62-82,,,,คุณกัญวาลักษณ์,VP06,082-5962854,,"13.833395,100.062707",,,Active,OLD
191,ขายปลีก 20/4.5,VP06040,โรงไฟฟ้า,,,,,,,VP06,,,,,,Active,OLD
192,ขายปลีก 20/4.5,VP06041,ก๋วยเตี๋ยวเนื้อ VP6,,,,,,,VP06,,,,,,Active,OLD
193,ขายปลีก 20/4.5,VP06042,มะพร้าวปั่น ซ.8 VP6,,,,,,,VP06,,,,,,Active,OLD
194,ขายปลีก 20/4.5,VP06043,ราชมรรคา [P2] VP6,,,,,,,VP06,097-1571161,,"13.812163,100.052571",,,Active,OLD
195,ขายปลีก 20/4.5,VP06044,นัดของชำ [P2] VP6,,,,,,,VP06,,,,,,Active,OLD
196,ขายปลีก 20/4.5,VP06045,ตามใจสั่ง,,,,,,,VP06,062-5642831,,"13.818277,100.079565",,,Active,OLD
197,ขายปลีก 20/4.5,VP06046,พอใจก๋วยเตี๋ยว,,"A62-73,S62-185",,,,คุณสุมาลี,VP06,081-4523668,,,,,Active,OLD
198,ขายปลีก 20/4.5,VP06047,น้ำ วีรนาพร,,,,,,คุณบี๋,VP06,086-1776842,,"13.819133,100.079091",,,Active,OLD
199,ขายปลีก 20/4.5,VP06048,แนท VP6,,,,,,คุณแนท,VP06,097-1077698,,"13.823772,100.108092",,,Active,OLD
