Code,Name,Surname,,,,,Status,Contact,line_id,lct,rou_id,ที่อยู่,กลุ่มลูกค้า,ประเภท,เบอร์โทร,count
CU-2100033,รปภ.,AZ03,,,,,,,,,AZ03,,AZ,AZ01,062-478-6365,1
CU-2100034,สน.ราชพฤกษ์ 3,CC2369,,อาคารศูนย์เอนเนอร์ยี่คอมเพล็กซ์ อาคารบี ชั้นที่ 12 555/2 ถนนวิภาวดีรังสิต แขวงจตุจักร เขตจตุจักร กรุงเทพฯ 10900,30,30 วัน,,,,,AZ04,,AZ,AZ01,096-248-5951,1
CU-2100035,สน.ตลิ่งชัน,CC1579,,อาคารศูนย์เอนเนอร์ยี่คอมเพล็กซ์ อาคารบี ชั้นที่ 12 555/2 ถนนวิภาวดีรังสิต แขวงจตุจักร เขตจตุจักร กรุงเทพฯ 10900,30,30 วัน,,,,,AZ04,,AZ,AZ01,099-310-0389,1
CU-2100036,Lotus บางกรวย-ไทรน้อย,SC2571,,อาคารศูนย์เอนเนอร์ยี่คอมเพล็กซ์ อาคารบี ชั้นที่ 12 555/2 ถนนวิภาวดีรังสิต แขวงจตุจักร เขตจตุจักร กรุงเทพฯ 10900,30,30 วัน,,,,,AZ04,,AZ,AZ01,061-397-9928,1
CU-2100037,Central เวสต์เกต ชั้น 2,SC1199,,อาคารศูนย์เอนเนอร์ยี่คอมเพล็กซ์ อาคารบี ชั้นที่ 12 555/2 ถนนวิภาวดีรังสิต แขวงจตุจักร เขตจตุจักร กรุงเทพฯ 10900,30,30 วัน,,,,,AZ04,,AZ,AZ01,097-236-3618,1
CU-2100038,Central เวสต์เกต ชั้น 1 ,SC2780,,อาคารศูนย์เอนเนอร์ยี่คอมเพล็กซ์ อาคารบี ชั้นที่ 12 555/2 ถนนวิภาวดีรังสิต แขวงจตุจักร เขตจตุจักร กรุงเทพฯ 10900,30,30 วัน,,,,,AZ04,,AZ,AZ01,095-115-4263,1
CU-2100039,อเมซอนไทวัสดุ  (25),ไม่ระบุ,,59/9 หมู่1 ตำบลบางบัวทอง อำเภอบางบัวทอง จังหวัดนนทบุรี 11110,30,30 วัน,,,,,AZ04,,AZ,AZ01,,1
CU-2100040,ชานมไข่มุก โลตัสบางกรวย,ไม่ระบุ,,,,,,,,,AZ04,,AZ,AZ01,,1
CU-2100041,เตี๋ยวเรืออนุเสาวรีย์ 4,ไม่ระบุ,,199/90 หมู่ 5 ตำบลบางขนุน อำเภอบางกรวย จังหวัดนนทบุรี 11130,30,30 วัน,,,,,AZ04,,AZ,AZ01,,1
CU-2100042,รปภ.,AZ04,,,,,,,,,AZ04,,AZ,AZ01,,1
CU-2100043,กระทรวงพาณิชย์ นนทบุรี,SC3449,,อาคารศูนย์เอนเนอร์ยี่คอมเพล็กซ์ อาคารบี ชั้นที่ 12 555/2 ถนนวิภาวดีรังสิต แขวงจตุจักร เขตจตุจักร กรุงเทพฯ 10900,30,30 วัน,,,,,AZ05,,AZ,AZ01,099-507-3544,1
CU-2100044,สลากกินแบ่งรัฐบาล ,SC2769,,อาคารศูนย์เอนเนอร์ยี่คอมเพล็กซ์ อาคารบี ชั้นที่ 12 555/2 ถนนวิภาวดีรังสิต แขวงจตุจักร เขตจตุจักร กรุงเทพฯ 10900,30,30 วัน,,,,,AZ05,,AZ,AZ01,089-306-8233,1
CU-2100045,ปปช.,SC1003,,อาคารศูนย์เอนเนอร์ยี่คอมเพล็กซ์ อาคารบี ชั้นที่ 12 555/2 ถนนวิภาวดีรังสิต แขวงจตุจักร เขตจตุจักร กรุงเทพฯ 10900,30,30 วัน,,,,,AZ05,,AZ,AZ01,094-536-2445,1
CU-2100046,ชลประทานปากเกร็ด,SC2862,,อาคารศูนย์เอนเนอร์ยี่คอมเพล็กซ์ อาคารบี ชั้นที่ 12 555/2 ถนนวิภาวดีรังสิต แขวงจตุจักร เขตจตุจักร กรุงเทพฯ 10900,30,30 วัน,,,,,AZ05,,AZ,AZ01,097-165-6727,1
CU-2100047,Central เเจ้งวัฒนะ,SC1633,,อาคารศูนย์เอนเนอร์ยี่คอมเพล็กซ์ อาคารบี ชั้นที่ 12 555/2 ถนนวิภาวดีรังสิต แขวงจตุจักร เขตจตุจักร กรุงเทพฯ 10900,30,30 วัน,,,,,AZ05,,AZ,AZ01,093-831-1650,1
CU-2100048,โครงการNicheID,SC3443,,อาคารศูนย์เอนเนอร์ยี่คอมเพล็กซ์ อาคารบี ชั้นที่ 12 555/2 ถนนวิภาวดีรังสิต แขวงจตุจักร เขตจตุจักร กรุงเทพฯ 10900,30,30 วัน,,,,,AZ05,,AZ,AZ01,099-063-9239,1
CU-2100049,อเมซอน แจ้งวัฒนะ (25),ไม่ระบุ,,61/4 หมู่4 ถนนแจ้งวัฒนะ ตำบลปากเกร็ด อำเภอปากเกร็ด จังหวัดนนทบุรี 11120,30,30 วัน,,,,,AZ05,,AZ,AZ01,,1
CU-2100050,ราดหน้าบียอน (25),ไม่ระบุ,,,,,,,,,AZ05,,AZ,AZ01,,1
CU-2100051,เมืองทอง เอ็มโซไซตี้ (25),ไม่ระบุ,,120/1072 หมู่ที่ 9 ตำบลบางพูด อำเภอปากเกร็ด จังหวัดนนทบุรี 11120,30,30 วัน,,,,,AZ05,,AZ,AZ01,,1
CU-2100052,เมืองทอง บรอนสตีท (25),ไม่ระบุ,,50/251 หมู่ที่ 6 ตำบลบ้านใหม่ อำเภอปากเกร็ด จังหวัดนนทบุรี 11120,30,30 วัน,,,,,AZ05,,AZ,AZ01,,1
CU-2100053,รปภ.,ไม่ระบุ,,,,,,,,,AZ05,,AZ,AZ01,,1
CU-2100054,สน.ร.พ.ศรีธัญญา,CC3038,,อาคารศูนย์เอนเนอร์ยี่คอมเพล็กซ์ อาคารบี ชั้นที่ 12 555/2 ถนนวิภาวดีรังสิต แขวงจตุจักร เขตจตุจักร กรุงเทพฯ 10900,30,30 วัน,,,,,AZ06,,AZ,AZ01,082-585-8564,1
CU-2100055,กรมอนามัย,SC1394,,อาคารศูนย์เอนเนอร์ยี่คอมเพล็กซ์ อาคารบี ชั้นที่ 12 555/2 ถนนวิภาวดีรังสิต แขวงจตุจักร เขตจตุจักร กรุงเทพฯ 10900,30,30 วัน,,,,,AZ06,,AZ,AZ01,095-797-0342,1
CU-2100056,สน.กรมวิทย์ฯการแพทย์,CC3081,,อาคารศูนย์เอนเนอร์ยี่คอมเพล็กซ์ อาคารบี ชั้นที่ 12 555/2 ถนนวิภาวดีรังสิต แขวงจตุจักร เขตจตุจักร กรุงเทพฯ 10900,30,30 วัน,,,,,AZ06,,AZ,AZ01,088-559-6011,1
CU-2100057,The Mall งามวงศ์วาน ชั้น6,SC3029,,อาคารศูนย์เอนเนอร์ยี่คอมเพล็กซ์ อาคารบี ชั้นที่ 12 555/2 ถนนวิภาวดีรังสิต แขวงจตุจักร เขตจตุจักร กรุงเทพฯ 10900,30,30 วัน,,,,,AZ06,,AZ,AZ01,093-110-6837,1
CU-2100058,สน.ประชาชื่น 2 ,CC2779,,อาคารศูนย์เอนเนอร์ยี่คอมเพล็กซ์ อาคารบี ชั้นที่ 12 555/2 ถนนวิภาวดีรังสิต แขวงจตุจักร เขตจตุจักร กรุงเทพฯ 10900,30,30 วัน,,,,,AZ06,,AZ,AZ01,092-659-9668,1
CU-2100059,อเมซอนท่าน้ำบางศรีเมือง,ไม่ระบุ,,193 หมู่ 3 ตำบลบางศรีเมือง อำเภอเมืองนนทบุรี จังหวัดนนทบุรี 11110,30,30 วัน,,,,,AZ06,,AZ,AZ01,,1
CU-2100060,เตี๋ยวเรือเสาวรีย์ 6,ไม่ระบุ,,199/90 หมู่ 5 ตำบลบางขนุน อำเภอบางกรวย จังหวัดนนทบุรี 11130,30,30 วัน,,,,,AZ06,,AZ,AZ01,,1
CU-2100061,The Mall งามวงศ์วาน ชั้น G,SC3793,,อาคารศูนย์เอนเนอร์ยี่คอมเพล็กซ์ อาคารบี ชั้นที่ 12 555/2 ถนนวิภาวดีรังสิต แขวงจตุจักร เขตจตุจักร กรุงเทพฯ 10900,30,30 วัน,,,,,AZ06,,AZ,AZ01,,1
CU-2100062,รปภ.,ไม่ระบุ,,,,,,,,,AZ06,,AZ,AZ01,,1
CU-2100063,ศูนย์การแพทย์กาญจนาภิเษก ม.มหิดล,SC2948,,อาคารศูนย์เอนเนอร์ยี่คอมเพล็กซ์ อาคารบี ชั้นที่ 12 555/2 ถนนวิภาวดีรังสิต แขวงจตุจักร เขตจตุจักร กรุงเทพฯ 10900,30,30 วัน,,,,,AZ07,,AZ,AZ01,,1
CU-2100064,พุทธมณฑล สาย 4,CC3091,,อาคารศูนย์เอนเนอร์ยี่คอมเพล็กซ์ อาคารบี ชั้นที่ 12 555/2 ถนนวิภาวดีรังสิต แขวงจตุจักร เขตจตุจักร กรุงเทพฯ 10900,30,30 วัน,,,,,AZ07,,AZ,AZ01,,1
CU-2100065,พุทธมณฑล สาย 5,CC1833,,อาคารศูนย์เอนเนอร์ยี่คอมเพล็กซ์ อาคารบี ชั้นที่ 12 555/2 ถนนวิภาวดีรังสิต แขวงจตุจักร เขตจตุจักร กรุงเทพฯ 10900,30,30 วัน,,,,,AZ07,,AZ,AZ01,,1
CU-2100066,สน.เพชรเกษม 81,CC2716,,อาคารศูนย์เอนเนอร์ยี่คอมเพล็กซ์ อาคารบี ชั้นที่ 12 555/2 ถนนวิภาวดีรังสิต แขวงจตุจักร เขตจตุจักร กรุงเทพฯ 10900,30,30 วัน,,,,,AZ07,,AZ,AZ01,,1
CU-2100067,สน. พระราม 2 ขาเข้า กม.19,CC2155,,อาคารศูนย์เอนเนอร์ยี่คอมเพล็กซ์ อาคารบี ชั้นที่ 12 555/2 ถนนวิภาวดีรังสิต แขวงจตุจักร เขตจตุจักร กรุงเทพฯ 10900,30,30 วัน,,,,,AZ07,,AZ,AZ01,,1
CU-2100068,Central มหาชัย ชั้น 1,SC2201,,อาคารศูนย์เอนเนอร์ยี่คอมเพล็กซ์ อาคารบี ชั้นที่ 12 555/2 ถนนวิภาวดีรังสิต แขวงจตุจักร เขตจตุจักร กรุงเทพฯ 10900,30,30 วัน,,,,,AZ07,,AZ,AZ01,,1
CU-2100069,Central มหาชัย ชั้น 2,SC2196,,อาคารศูนย์เอนเนอร์ยี่คอมเพล็กซ์ อาคารบี ชั้นที่ 12 555/2 ถนนวิภาวดีรังสิต แขวงจตุจักร เขตจตุจักร กรุงเทพฯ 10900,30,30 วัน,,,,,AZ07,,AZ,AZ01,,1
CU-2100070,รพ. สมเด็จพระพุทธเลิศหล้า,SC2316,,อาคารศูนย์เอนเนอร์ยี่คอมเพล็กซ์ อาคารบี ชั้นที่ 12 555/2 ถนนวิภาวดีรังสิต แขวงจตุจักร เขตจตุจักร กรุงเทพฯ 10900,30,30 วัน,,,,,AZ07,,AZ,AZ01,,1
CU-2100071,ร้านละมุนชาบาร์ ,ไม่ระบุ,,,15,15 วัน,,,,,AZ07,,AZ,AZ01,,1
CU-2100072,อเมซอนวุฒิคุณ ,ไม่ระบุ,,746/12 อาคารสมุทรวุฒิคุณ ถนนราชญาติรักษา ตำบลแม่กลอง อำเภอเมืองสมุทรสงคราม จังหวัดสมุทรสงคราม 75000,30,30 วัน,,,,,AZ07,,AZ,AZ01,,1
CU-2100073,ร้านปริวัฒน์ช็อป,ไม่ระบุ,,,,,,,,,AZ07,,AZ,AZ01,,1
CU-2100074,รปภ.,ไม่ระบุ,,,,,,,,,AZ07,,AZ,AZ01,,1
CU-2100075,ปิ่นทิพย์      ,ไม่ระบุ,,,15,15 วัน,,,,,BP01,,BP,BP01,,1
CU-2100076,เต็กฮงจั่น    ,ไม่ระบุ,,,15,15 วัน,,,,,BP01,,BP,BP01,,1
CU-2100077,ดาว           ,ไม่ระบุ,,,,,,,,,BP01,,BP,BP01,,1
CU-2100078,เฮียติ          ,ไม่ระบุ,,,,,,,,,BP02,,BP,BP01,,1
CU-2100079,พ่อเฮียติ      ,ไม่ระบุ,,,,,,,,,BP02,,BP,BP01,,1
CU-2100080,เจ๊ติ๊ก,ไม่ระบุ,,,,,,,,,BP02,,BP,BP01,,1
CU-2100081,เจ๊ขวัญ,ไม่ระบุ,,,,,,,,,BP02,,BP,BP01,,1
CU-2100082,เจ๊แต๋ว,ไม่ระบุ,,,,,,,,,BP02,,BP,BP01,,1
CU-2100083,เจ๊สาว,ไม่ระบุ,,,,,,,,,BP02,,BP,BP01,,1
CU-2100084,เจ๊เพ็ญ,ไม่ระบุ,,,,,,,,,BP02,,BP,BP01,,1
CU-2100085,ร้านเพลิน,ไม่ระบุ,,,,,,,,,BP02,,BP,BP01,,1
CU-2100086,ก๋วยเตี๋ยวแม่กลอง,ไม่ระบุ,,,,,,,,,BP02,,BP,BP01,,1
CU-2100087,เจ๊กาญ,ไม่ระบุ,,,,,,,,,BP02,,BP,BP01,,1
CU-2100088,อาม่า,ไม่ระบุ,,,,,,,,,BP02,,BP,BP01,,1
CU-2100089,อเมซอล ซ.กลาง,ไม่ระบุ,,19 ถนนรถไฟ ตำบลพระปฐมเจดีย์ อำเภอเมืองนครปฐม จังหวัดนครปฐม 73000,07,7 วัน,,,,,BP02,,BP,BP01,,1
CU-2100090,อเมซอล ซ.4,ไม่ระบุ,,333 ถนนพิพัธประสาท ตำบลพระปฐมเจดีย์ อำเภอเมืองนครปฐม จังหวัดนครปฐม 73000,07,7 วัน,,,,,BP02,,BP,BP01,,1
CU-2100091,กาแฟออมสิน,ไม่ระบุ,,,,,,,,,BP02,,BP,BP01,,1
CU-2100092,เจ๊ยุพา,ไม่ระบุ,,,,,,,,,BP02,,BP,BP01,,1
CU-2100093,เจ๊แดง,ไม่ระบุ,,,,,,,,,BP02,,BP,BP01,,1
CU-2100094,เจ๊อร,ไม่ระบุ,,,,,,,,,BP02,,BP,BP01,,1
CU-2100095,เจ๊ปุ๊ก,ไม่ระบุ,,,,,,,,,BP02,,BP,BP01,,1
CU-2100096,อาแปะ,ไม่ระบุ,,,,,,,,,BP02,,BP,BP01,,1
CU-2100097,เจ๊เจี๊ยบ การาโต้,ไม่ระบุ,,,,,,,,,BP02,,BP,BP01,,1
CU-2100098,ก๋วยเตี๋ยว จ่า ช.,ไม่ระบุ,,,,,,,,,BP02,,BP,BP01,,1
CU-2100099,เจ๊ไหม,ไม่ระบุ,,,,,,,,,BP02,,BP,BP01,,1
CU-2100100,ร้านพริ้ม,ไม่ระบุ,,,,,,,,,BP02,,BP,BP01,,1
CU-2100101,วินเนอร์ คาราโอเกะ,ไม่ระบุ,,,,,,,,,BP02,,BP,BP01,,1
CU-2100102,เฮียหยู   ,ไม่ระบุ,,,,,,,,,NV01,,NV,NV01,,1
CU-2100103,กม.5   ,ไม่ระบุ,,,,,,,,,NV01,,NV,NV01,,1
CU-2100104,ม่วงตารส   ,ไม่ระบุ,,,,,,,,,NV01,,NV,NV01,,1
CU-2100105,ธัญญบูรณ์   ,ไม่ระบุ,,,,,,,,,NV01,,NV,NV01,,1
CU-2100106,เฮียสุด   ,ไม่ระบุ,,,,,,,,,NV01,,NV,NV01,,1
CU-2100107,ก๊อต   ,ไม่ระบุ,,,,,,,,,NV01,,NV,NV01,,1
CU-2100108,เจ้วงศ์   ,ไม่ระบุ,,,,,,,,,NV01,,NV,NV01,,1
CU-2100109,พี่ต่าย   ,ไม่ระบุ,,,,,,,,,NV02,,NV,NV01,,1
CU-2100110,เจ้เพ็ญ   ,ไม่ระบุ,,,,,,,,,NV02,,NV,NV01,,1
CU-2100111,เสริมสวย   ,ไม่ระบุ,,,,,,,,,NV02,,NV,NV01,,1
CU-2100112,พี่แรง   ,ไม่ระบุ,,,,,,,,,NV02,,NV,NV01,,1
CU-2100113,พี่บูรณ์   ,ไม่ระบุ,,,,,,,,,NV02,,NV,NV01,,1
CU-2100114,พี่บุญชู   ,ไม่ระบุ,,,,,,,,,NV02,,NV,NV01,,1
CU-2100115,เจ้มัด   ,ไม่ระบุ,,,,,,,,,NV02,,NV,NV01,,1
CU-2100116,พี่วินัย   ,ไม่ระบุ,,,,,,,,,NV02,,NV,NV01,,1
CU-2100117,เจ้ติ๋ม   ,ไม่ระบุ,,,,,,,,,NV02,,NV,NV01,,1
CU-2100118,พี่น้ำค้าง   ,ไม่ระบุ,,,,,,,,,NV02,,NV,NV01,,1
CU-2100119,พี่สุดาภา   ,ไม่ระบุ,,,,,,,,,NV02,,NV,NV01,,1
CU-2100120,ป้าอัด   ,ไม่ระบุ,,,,,,,,,NV02,,NV,NV01,,1
CU-2100121,เจ้พี   ,ไม่ระบุ,,,,,,,,,NV02,,NV,NV01,,1
CU-2100122,พี่ชม้าย   ,ไม่ระบุ,,,,,,,,,NV02,,NV,NV01,,1
CU-2100123,พี่นิด   ,ไม่ระบุ,,,,,,,,,NV02,,NV,NV01,,1
CU-2100124,ร้านกาแฟ   ,ไม่ระบุ,,,,,,,,,NV02,,NV,NV01,,1
CU-2100125,Freedom   ,ไม่ระบุ,,,,,,,,,NV02,,NV,NV01,,1
CU-2100126,บะหมี่   ,ไม่ระบุ,,,,,,,,,NV02,,NV,NV01,,1
CU-2100127,ข้าวแกง   ,ไม่ระบุ,,,,,,,,,NV02,,NV,NV01,,1
CU-2100128,เฌอแตม   ,ไม่ระบุ,,,,,,,,,NV02,,NV,NV01,,1
CU-2100129,ตามสั่ง 2   ,ไม่ระบุ,,,,,,,,,NV02,,NV,NV01,,1
CU-2100130,เฮียหยู   ,ไม่ระบุ,,,,,,,,,NV03,,NV,NV01,,1
CU-2100131,เต็กฮง,ไม่ระบุ,,,,,,,,,NV04,,NV,NV01,,1
CU-2100132,ไก่,ไม่ระบุ,,,03,3 วัน,,,,,NV04,,NV,NV01,,1
CU-2100133,เช็งฮวง,ไม่ระบุ,,,,,,,,,NV04,,NV,NV01,,1
CU-2100134,ถุงทอง,ไม่ระบุ,,,,,,,,,NV04,,NV,NV01,,1
CU-2100135,ICF สมุทรสาคร,ไม่ระบุ,,389 หมู่ 10 ตำบลคลองมะเดื่อ อำเภอกระทุ่มแบน จังหวัดสมุทรสาคร 74110,30,30 วัน,,,,,VP16,,VP,VP01,,1
CU-2100136,ICF นครปฐม,ไม่ระบุ,,61/1-3 หมู่ 3 ตำบลถนนขาด อำเภอเมืองนครปฐม จังหวัดนครปฐม 73000 ,30,30 วัน,,,,,VP16,,VP,VP01,,1
CU-2100137,Meet&Eat (สำนักงาน),ซ.8,,,,,,,,,VP16,,VP,VP01,,1
CU-2100138,ร้านน้ำพี่สา,ตลาดนัดโลตัส นฐ,,,,,,,,,VP16,,VP,VP01,,1
CU-2100139,ยายบางยำแซ่บ,ตลาดนัดโลตัส นฐ,,,,,,,,,VP16,,VP,VP01,,1
CU-2100140,นกกระจิบ,ตลาดนัดโลตัส นฐ,,,,,,,,,VP16,,VP,VP01,,1
CU-2100141,ดูคาติม,ตลาดนัดโลตัส นฐ,,,,,,,,,VP16,,VP,VP01,,1
CU-2100142,พร้าวปั่น,ตลาดนัดโลตัส นฐ,,,,,,,,,VP16,,VP,VP01,,1
CU-2100143,ทาโกะยากิ,ตลาดนัดโลตัส นฐ,,,,,,,,,VP16,,VP,VP01,,1
